value	comparisons	files	per_file	examples
"C"	2	1	taxPaymentPlanner.js=2	taxPaymentPlanner.js:871 taxPaymentPlanner.js:1598
"D"	2	1	taxPaymentPlanner.js=2	taxPaymentPlanner.js:875 taxPaymentPlanner.js:1074
"quarterly"	2	1	taxPaymentPlanner.js=2	taxPaymentPlanner.js:1192 taxPaymentPlanner.js:1243
"B"	2	1	taxPaymentPlanner.js=2	taxPaymentPlanner.js:1531 taxPaymentPlanner.js:1599
"prior-100"	2	1	taxPaymentPlanner.js=2	taxPaymentPlanner.js:2105 taxPaymentPlanner.js:2106
"file:"	2	2	montecarlo/mc_controller.js=1 retirement_optimizer.html=1	montecarlo/mc_controller.js:24 retirement_optimizer.html:1922
"periodic"	2	1	Retirement_Projection.html=2	Retirement_Projection.html:1214 Retirement_Projection.html:2260
"smile"	2	1	Retirement_Projection.html=2	Retirement_Projection.html:1257 Retirement_Projection.html:2179
"0"	2	2	Retirement_Projection.html=1 standalone/IncomeTaxPlanner.html=1	Retirement_Projection.html:2108 standalone/IncomeTaxPlanner.html:1526
"halfcpi"	1	1	optimizer_core.js=1	optimizer_core.js:238
"cpiminus1"	1	1	optimizer_core.js=1	optimizer_core.js:239
"flat2000"	1	1	optimizer_core.js=1	optimizer_core.js:252
"halfstep"	1	1	optimizer_core.js=1	optimizer_core.js:253
"asneeded"	1	1	optimizer_core.js=1	optimizer_core.js:287
"shortfall"	1	1	optimizer_core.js=1	optimizer_core.js:643
"netAmount"	1	1	optimizer_core.js=1	optimizer_core.js:643
"errors"	1	1	optimizer_core.js=1	optimizer_core.js:643
"federal"	1	1	optimizer_core.js=1	optimizer_core.js:2515
"irmaa"	1	1	optimizer_core.js=1	optimizer_core.js:2515
"IRA"	1	1	optimizer_core.js=1	optimizer_core.js:2630
"magi"	1	1	optimizer_core.js=1	optimizer_core.js:2765
"spendonly"	1	1	optimizer_core.js=1	optimizer_core.js:2825
"bracketfill"	1	1	optimizer_core.js=1	optimizer_core.js:2868
"unbounded"	1	1	optimizer_core.js=1	optimizer_core.js:3486
"Cash"	1	1	optimizer_core.js=1	optimizer_core.js:3818
"allfromira"	1	1	optimizer_core.js=1	optimizer_core.js:4124
"december"	1	1	optimizer_core.js=1	optimizer_core.js:4370
"brokerage-first"	1	1	optimizer_core.js=1	optimizer_core.js:5076
"minTax"	1	1	optimizer_core.js=1	optimizer_core.js:6446
"baselineScore"	1	1	optimizer_core.js=1	optimizer_core.js:6447
"b"	1	1	optimizer_core.js=1	optimizer_core.js:7145
"m"	1	1	optimizer_core.js=1	optimizer_core.js:7146
"k"	1	1	optimizer_core.js=1	optimizer_core.js:7147
"goal"	1	1	optimizer_ui.js=1	optimizer_ui.js:33
"tab-mc"	1	1	optimizer_ui.js=1	optimizer_ui.js:121
"tab-opt"	1	1	optimizer_ui.js=1	optimizer_ui.js:126
"pp"	1	1	optimizer_ui.js=1	optimizer_ui.js:490
"years"	1	1	optimizer_ui.js=1	optimizer_ui.js:491
"dollar"	1	1	optimizer_ui.js=1	optimizer_ui.js:493
"neutral"	1	1	optimizer_ui.js=1	optimizer_ui.js:496
"higher"	1	1	optimizer_ui.js=1	optimizer_ui.js:497
"busy"	1	1	optimizer_ui.js=1	optimizer_ui.js:1311
"rmdtax"	1	1	optimizer_ui.js=1	optimizer_ui.js:2316
"convBE"	1	1	optimizer_ui.js=1	optimizer_ui.js:2317
"inflationFactor"	1	1	optimizer_ui.js=1	optimizer_ui.js:3088
"cat-spending"	1	1	optimizer_ui.js=1	optimizer_ui.js:3200
"BracketOverage"	1	1	optimizer_ui.js=1	optimizer_ui.js:3590
"netIncome"	1	1	optimizer_ui.js=1	optimizer_ui.js:3590
"totalTax"	1	1	optimizer_ui.js=1	optimizer_ui.js:3593
"loopMs"	1	1	optimizer_ui.js=1	optimizer_ui.js:3613
"IRMAATier"	1	1	optimizer_ui.js=1	optimizer_ui.js:3644
"neverSustains"	1	1	optimizer_ui.js=1	optimizer_ui.js:3960
"mc-chart"	1	1	optimizer_ui.js=1	optimizer_ui.js:4117
"chartAssets"	1	1	optimizer_ui.js=1	optimizer_ui.js:4118
"chartIncomeSources"	1	1	optimizer_ui.js=1	optimizer_ui.js:4118
"Medicare"	1	1	optimizer_ui.js=1	optimizer_ui.js:4197
"bar"	1	1	optimizer_ui.js=1	optimizer_ui.js:4287
"half"	1	1	optimizer_ui.js=1	optimizer_ui.js:4457
"log10"	1	1	optimizer_ui.js=1	optimizer_ui.js:4625
"Cap Gains"	1	1	optimizer_ui.js=1	optimizer_ui.js:4756
"flows"	1	1	optimizer_ui.js=1	optimizer_ui.js:4784
"assetflows"	1	1	optimizer_ui.js=1	optimizer_ui.js:4820
"market"	1	1	optimizer_ui.js=1	optimizer_ui.js:4844
"y1"	1	1	optimizer_ui.js=1	optimizer_ui.js:4892
"Market return"	1	1	optimizer_ui.js=1	optimizer_ui.js:4905
"go-btn"	1	1	optimizer_ui.js=1	optimizer_ui.js:5522
"previous"	1	1	optimizer_ui.js=1	optimizer_ui.js:5663
"balance"	1	1	optimizer_ui.js=1	optimizer_ui.js:5704
"down"	1	1	optimizer_ui.js=1	optimizer_ui.js:5823
"linear"	1	1	optimizer_ui.js=1	optimizer_ui.js:5879
"tab-chart"	1	1	optimizer_ui.js=1	optimizer_ui.js:6176
"the ACA FPL cap"	1	1	optimizer_ui.js=1	optimizer_ui.js:6690
"taxflex"	1	1	optimizer_ui.js=1	optimizer_ui.js:7181
"inflation"	1	1	optimizer_ui.js=1	optimizer_ui.js:7186
"text"	1	1	optimizer_ui.js=1	optimizer_ui.js:7317
"always"	1	1	optimizer_ui.js=1	optimizer_ui.js:7683
"optObjective"	1	1	optimizer_ui.js=1	optimizer_ui.js:7710
"stratIRMAATier"	1	1	optimizer_ui.js=1	optimizer_ui.js:7712
"stratACAMultiple"	1	1	optimizer_ui.js=1	optimizer_ui.js:7713
"qcdMode"	1	1	optimizer_ui.js=1	optimizer_ui.js:7717
"complete"	1	1	optimizer_ui.js=1	optimizer_ui.js:7815
"count"	1	1	optimizer_ui.js=1	optimizer_ui.js:7931
"restore"	1	1	optimizer_ui.js=1	optimizer_ui.js:8708
"risk"	1	1	optimizer_ui.js=1	optimizer_ui.js:8709
"cap"	1	1	taxengine.js=1	taxengine.js:1328
"phaseout"	1	1	taxengine.js=1	taxengine.js:1341
"credit"	1	1	taxengine.js=1	taxengine.js:1367
"CA"	1	1	taxengine.js=1	taxengine.js:1577
"FEDERAL"	1	1	taxengine.js=1	taxengine.js:1585
"A"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:875
"ye_ira"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:1241
"ye_ira_full"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:1254
"ye_ira_partial"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:1254
"vol"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:1697
"all_quarterly"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:2130
"no-tax"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:2380
"no-early-leg"	1	1	taxPaymentPlanner.js=1	taxPaymentPlanner.js:2382
"mc-num-paths"	1	1	montecarlo/mc_tab.js=1	montecarlo/mc_tab.js:73
"mc-mu"	1	1	montecarlo/mc_tab.js=1	montecarlo/mc_tab.js:219
"survival"	1	1	montecarlo/mc_tab.js=1	montecarlo/mc_tab.js:1710
"upper"	1	1	montecarlo/rails_engine.js=1	montecarlo/rails_engine.js:582
"lower"	1	1	montecarlo/rails_engine.js=1	montecarlo/rails_engine.js:582
"progress"	1	1	montecarlo/mc_controller.js=1	montecarlo/mc_controller.js:39
"results"	1	1	montecarlo/mc_controller.js=1	montecarlo/mc_controller.js:41
"unknown"	1	1	retirement_optimizer.html=1	retirement_optimizer.html:1252
"behavior"	1	1	retirement_optimizer.html=1	retirement_optimizer.html:1258
"fast"	1	1	retirement_optimizer.html=1	retirement_optimizer.html:1891
"DETAILS"	1	1	RetirementTaxPlanner.html=1	RetirementTaxPlanner.html:991
"infl"	1	1	Retirement_Projection.html=1	Retirement_Projection.html:1256
"niit"	1	1	Retirement_Projection.html=1	Retirement_Projection.html:1419
"taxation"	1	1	Retirement_Projection.html=1	Retirement_Projection.html:1473
"income"	1	1	Retirement_Projection.html=1	Retirement_Projection.html:1474
"num-pin"	1	1	standalone/IncomeTaxPlanner.html=1	standalone/IncomeTaxPlanner.html:1292
"https:"	1	1	feedback.js=1	feedback.js:255
"http:"	1	1	feedback.js=1	feedback.js:255
"daily"	1	1	feedback.js=1	feedback.js:273
"bot"	1	1	feedback.js=1	feedback.js:278
"file"	1	1	feedback.js=1	feedback.js:547
"setup"	1	1	feedback.js=1	feedback.js:556
"loading"	1	1	feedback.js=1	feedback.js:748
"empty"	1	1	feedback.js=1	feedback.js:789
"AbortError"	1	1	feedback.js=1	feedback.js:832
